date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:25	703/703	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:39:11%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/style.css?ver=5.8.6	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/style6281.css	(from https://swiftedutravels.com/)
16:12:25	37490/37490	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2015:17:28%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/bookly-main.css?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/bookly-main09fa.css	(from https://swiftedutravels.com/)
16:12:25	12985/12985	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:50%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/css/blocks.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/css/blocks2180.css	(from https://swiftedutravels.com/)
16:12:28	127281/127281	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:25%20GMT	https://swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/bootstrap.min.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/bootstrap.min2180.css	(from https://swiftedutravels.com/)
16:12:28	56167/56167	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:50%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/css/fontawesome.min.css?ver=5.8.6	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/css/fontawesome.min6281.css	(from https://swiftedutravels.com/)
16:12:28	7888/7888	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:51%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/fonts/flaticon.css?ver=5.8.6	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/fonts/flaticon6281.css	(from https://swiftedutravels.com/)
16:12:29	3351/3351	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:50%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/css/owl.carousel.min.css?ver=5.8.6	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/css/owl.carousel.min6281.css	(from https://swiftedutravels.com/)
16:12:30	4337/4337	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:50%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/css/wpforms.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/css/wpforms2180.css	(from https://swiftedutravels.com/)
16:12:31	74096/74096	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:25%20GMT	https://swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/animate.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/animate2180.css	(from https://swiftedutravels.com/)
16:12:31	107340/107340	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:38:50%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/css/style.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/css/style2180.css	(from https://swiftedutravels.com/)
16:12:32	17679/17679	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:58%20GMT	https://swiftedutravels.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://swiftedutravels.com/)
16:12:33	131034/131034	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:53%20GMT	https://swiftedutravels.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.2	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/elementor/assets/css/frontend.minccfb.css	(from https://swiftedutravels.com/)
16:12:33	946/946	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:49:19%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/css/post-7.css?ver=1629614959	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/css/post-7353f.css	(from https://swiftedutravels.com/)
16:12:34	3776/3776	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:25%20GMT	https://swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/slick.min.css?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/slick.min2180.css	(from https://swiftedutravels.com/)
16:12:35	200672/200672	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2006:40:58%20GMT	https://swiftedutravels.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://swiftedutravels.com/)
16:12:35	21040/21040	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:55:11%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/css/global.css?ver=1629615311	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/css/globaldd85.css	(from https://swiftedutravels.com/)
16:12:35	29273/29273	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:39:14%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/css/post-1167.css?ver=1666615154	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/css/post-1167b1cc.css	(from https://swiftedutravels.com/)
16:12:40	11224/11224	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2013:36:06%20GMT	https://swiftedutravels.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://swiftedutravels.com/)
16:12:41	89521/89521	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2019:37:24%20GMT	https://swiftedutravels.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://swiftedutravels.com/)
16:12:45	55160/55160	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Oct%202022%2015:03:07%20GMT	https://swiftedutravels.com/wp-content/plugins/chaty/js/cht-front-script.min.js?ver=1664896689	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/chaty/js/cht-front-script.min37d2.js	(from https://swiftedutravels.com/)
16:12:46	4277/4277	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/spin.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/spin.min09fa.js	(from https://swiftedutravels.com/)
16:12:47	3753/3753	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/ladda.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/ladda.min09fa.js	(from https://swiftedutravels.com/)
16:12:48	19721/19721	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/hammer.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/hammer.min09fa.js	(from https://swiftedutravels.com/)
16:12:49	987/987	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/jquery.hammer.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/jquery.hammer.min09fa.js	(from https://swiftedutravels.com/)
16:12:50	8174/8174	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/picker.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/picker09fa.js	(from https://swiftedutravels.com/)
16:12:50	12780/12780	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/picker.date.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/picker.date09fa.js	(from https://swiftedutravels.com/)
16:12:52	23212/23212	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/intlTelInput.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/intlTelInput.min09fa.js	(from https://swiftedutravels.com/)
16:12:54	143007/143007	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202022%2015:17:30%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/bookly.min.js?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/js/bookly.min09fa.js	(from https://swiftedutravels.com/)
16:12:57	828/828	---MC-	200	added ('OK')	text/xml	date:Wed,%2029%20Mar%202023%2015:12:41%20GMT	https://swiftedutravels.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/xmlrpc0db0.php	(from https://swiftedutravels.com/)
16:12:57	35712/35712	---MC-	200	added ('OK')	application/json	date:Wed,%2029%20Mar%202023%2015:12:38%20GMT	https://swiftedutravels.com/wp-json/wp/v2/pages/1167	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-json/wp/v2/pages/1167.json	(from https://swiftedutravels.com/)
16:12:58	117282/117282	---MC-	200	added ('OK')	application/json	date:Wed,%2029%20Mar%202023%2015:12:38%20GMT	https://swiftedutravels.com/wp-json/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-json/index.html	(from https://swiftedutravels.com/)
16:12:58	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2000:19:12%20GMT	https://swiftedutravels.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-includes/wlwmanifest.xml	(from https://swiftedutravels.com/)
16:12:59	2235/2235	---MC-	200	added ('OK')	application/json	date:Wed,%2029%20Mar%202023%2015:12:43%20GMT	https://swiftedutravels.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fswiftedutravels.com%2F	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-json/oembed/1.0/embed85f2.json	(from https://swiftedutravels.com/)
16:13:00	2329/2329	---MC-	200	added ('OK')	text/xml	date:Wed,%2029%20Mar%202023%2015:12:44%20GMT	https://swiftedutravels.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fswiftedutravels.com%2F&format=xml	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-json/oembed/1.0/embedf211	(from https://swiftedutravels.com/)
16:13:01	12523/12523	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202022%2015:40:29%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/06/SWIFTEDU-LOGO-ICON-100x100.png	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/06/SWIFTEDU-LOGO-ICON-100x100.png	(from https://swiftedutravels.com/)
16:13:02	225657/225657	---MCZ	200	added ('OK')	text/javascript	etag:W/%2266e4990506572b71d8cef72813eed7e6%22	https://cdn.popt.in/pixel.js?id=c845353c86613	C:/My%20Web%20Sites/swiftedutravels/cdn.popt.in/pixeleb19.js	(from https://swiftedutravels.com/)
16:13:02	39483/39483	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202022%2015:40:28%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/06/SWIFTEDU-LOGO-ICON.png	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/06/SWIFTEDU-LOGO-ICON.png	(from https://swiftedutravels.com/)
16:13:06	164496/164496	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2017:20:44%20GMT	https://swiftedutravels.com/wp-content/uploads/2021/08/Swift-LogoPNG.png	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2021/08/Swift-LogoPNG.png	(from https://swiftedutravels.com/)
16:13:07	230085/230085	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2016:48:40%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/06/pexels-godisable-jacob-901964-1536x1024.jpg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/06/pexels-godisable-jacob-901964-1536x1024.jpg	(from https://swiftedutravels.com/)
16:13:08	107091/107091	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:49%20GMT	https://swiftedutravels.com/flight-ticketing/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/flight-ticketing/index.html	(from https://swiftedutravels.com/)
16:13:10	107098/107098	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:52%20GMT	https://swiftedutravels.com/travel-and-tours/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/travel-and-tours/index.html	(from https://swiftedutravels.com/)
16:13:10	141298/141298	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:49%20GMT	https://swiftedutravels.com/about-us/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/about-us/index.html	(from https://swiftedutravels.com/)
16:13:13	107442/107442	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:56%20GMT	https://swiftedutravels.com/overseas-students-recruitment/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/overseas-students-recruitment/index.html	(from https://swiftedutravels.com/)
16:13:15	246227/246227	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jun%202022%2016:50:13%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/06/pexels-mikhail-nilov-9158712-1024x1536.jpg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/06/pexels-mikhail-nilov-9158712-1024x1536.jpg	(from https://swiftedutravels.com/)
16:13:16	97121/97121	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:56%20GMT	https://swiftedutravels.com/career-counseling/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/career-counseling/index.html	(from https://swiftedutravels.com/)
16:13:17	140161/140161	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202022%2015:59:00%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/06/IMG_0471-copy-768x512-removebg-preview.png	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/06/IMG_0471-copy-768x512-removebg-preview.png	(from https://swiftedutravels.com/)
16:13:17	97114/97114	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:12:59%20GMT	https://swiftedutravels.com/exam-preparation/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/exam-preparation/index.html	(from https://swiftedutravels.com/)
16:13:22	107158/107158	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:02%20GMT	https://swiftedutravels.com/visa-assistance-services/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/visa-assistance-services/index.html	(from https://swiftedutravels.com/)
16:13:23	96993/96993	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:05%20GMT	https://swiftedutravels.com/event/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/event/index.html	(from https://swiftedutravels.com/)
16:13:24	119657/119657	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Oct%202022%2011:27:22%20GMT	https://swiftedutravels.com/wp-content/uploads/2022/10/WhatsApp-Image-2022-10-21-at-2.15.44-PM-1024x1024.jpeg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2022/10/WhatsApp-Image-2022-10-21-at-2.15.44-PM-1024x1024.jpg	(from https://swiftedutravels.com/)
16:13:25	100383/100383	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:07%20GMT	https://swiftedutravels.com/blog/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/blog/index.html	(from https://swiftedutravels.com/)
16:13:31	102433/102433	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:10%20GMT	https://swiftedutravels.com/travel-form/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/travel-form/index.html	(from https://swiftedutravels.com/)
16:13:31	103959/103959	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:10%20GMT	https://swiftedutravels.com/appointment-booking/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/appointment-booking/index.html	(from https://swiftedutravels.com/)
16:13:32	115570/115570	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:13:10%20GMT	https://swiftedutravels.com/contact/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/contact/index.html	(from https://swiftedutravels.com/)
16:13:33	498444/498444	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Sep%202021%2008:38:24%20GMT	https://swiftedutravels.com/wp-content/uploads/2021/09/eric_o-scaled.jpg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/2021/09/eric_o-scaled.jpg	(from https://swiftedutravels.com/)
16:13:33	3641/3641	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jun%202022%2015:02:39%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.33-PM-pq2dv2dga069hwjk9nhdvqs1lqakvt6pio22b97pnc.jpeg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.33-PM-pq2dv2dga069hwjk9nhdvqs1lqakvt6pio22b97pnc.jpg	(from https://swiftedutravels.com/)
16:13:34	3771/3771	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jun%202022%2015:24:44%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.36-PM-pq2etmvrmnhwhmbuelffl0qc3vwjz2fblrsxplygt4.jpeg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.36-PM-pq2etmvrmnhwhmbuelffl0qc3vwjz2fblrsxplygt4.jpg	(from https://swiftedutravels.com/)
16:13:34	4657/4657	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jun%202022%2015:23:48%20GMT	https://swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.35-PM-pq2es2hg8lcp50lrjx1tfeyogrmj587fe0nsx0a36g.jpeg	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2022-06-09-at-12.51.35-PM-pq2es2hg8lcp50lrjx1tfeyogrmj587fe0nsx0a36g.jpg	(from https://swiftedutravels.com/)
16:13:35	18468/18468	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:58%20GMT	https://swiftedutravels.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.4.2	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/elementor/assets/lib/animations/animations.minccfb.css	(from https://swiftedutravels.com/)
16:13:37	702/702	---M--	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2006:38:58%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/js/skip-link-focus-fix.js?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/js/skip-link-focus-fix2180.js	(from https://swiftedutravels.com/)
16:13:38	9861/9861	---M--	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2006:39:00%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/js/global.js?ver=8.10.8	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/js/global2180.js	(from https://swiftedutravels.com/)
16:13:39	5836/5836	---M--	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2006:39:00%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/js/jquery.scrollTo.js?ver=2.1.2	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/js/jquery.scrollTo431f.js	(from https://swiftedutravels.com/)
16:13:40	2885/2885	---M--	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2006:40:31%20GMT	https://swiftedutravels.com/wp-content/plugins/edubin-core/assets/js/youtube-popup.js	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/edubin-core/assets/js/youtube-popup.js	(from https://swiftedutravels.com/)
16:13:42	85303/85303	---M--	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2006:38:58%20GMT	https://swiftedutravels.com/wp-content/themes/edubin/assets/js/owl.js?ver=2.3.4	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/themes/edubin/assets/js/owl531b.js	(from https://swiftedutravels.com/)
